sensor_id,time,x,y,temperature
2,1.776,0.25,-0.45,0.26641106932984504
2,1.824,0.25,-0.45,0.26722722480911903
2,1.872,0.25,-0.45,0.2680265413914298
2,1.92,0.25,-0.45,0.2688090918525815
2,1.968,0.25,-0.45,0.2695749560142541
2,2.016,0.25,-0.45,0.27032422041470383
2,2.064,0.25,-0.45,0.2710569779646596
2,2.112,0.25,-0.45,0.27177332759444167
2,2.16,0.25,-0.45,0.27247337389730003
2,2.208,0.25,-0.45,0.2731572267730553
2,2.2560000000000002,0.25,-0.45,0.2738250010753418
2,2.3040000000000003,0.25,-0.45,0.27447681626507475
2,2.352,0.25,-0.45,0.27511279607218886
2,2.4,0.25,-0.45,0.2757330681672113
2,2.448,0.25,-0.45,0.2763377638438242
2,2.496,0.25,-0.45,0.27692701771323686
2,2.544,0.25,-0.45,0.2775009674109084
2,2.592,0.25,-0.45,0.2780597533159346
2,2.64,0.25,-0.45,0.27860351828323054
2,2.688,0.25,-0.45,0.2791324073884914
2,2.736,0.25,-0.45,0.27964656768579893
2,2.7840000000000003,0.25,-0.45,0.28014614797764964
2,2.832,0.25,-0.45,0.2806312985971111
2,2.88,0.25,-0.45,0.281102171201761
2,2.928,0.25,-0.45,0.2815589185790263
2,2.976,0.25,-0.45,0.28200169446251383
2,3.024,0.25,-0.45,0.28243065335890655
2,3.072,0.25,-0.45,0.28284595038499305
2,3.12,0.25,-0.45,0.28324774111439277
2,3.168,0.25,-0.45,0.2836361814335443
2,3.216,0.25,-0.45,0.28401142740652696
2,3.2640000000000002,0.25,-0.45,0.28437363514829805
2,3.3120000000000003,0.25,-0.45,0.2847229607059361
2,3.36,0.25,-0.45,0.2850595599474945
2,3.408,0.25,-0.45,0.28538358845808276
2,3.456,0.25,-0.45,0.2856952014428075
2,3.504,0.25,-0.45,0.28599455363621845
2,3.552,0.25,-0.45,0.2862817992179214
2,3.6,0.25,-0.45,0.2865570917340331
2,3.648,0.25,-0.45,0.28682058402416793
2,3.696,0.25,-0.45,0.2870724281536623
2,3.744,0.25,-0.45,0.28731277535075245
2,3.7920000000000003,0.25,-0.45,0.28754177594844027
2,3.84,0.25,-0.45,0.2877595793307895
2,3.888,0.25,-0.45,0.28796633388341136
2,3.936,0.25,-0.45,0.2881621869479074
2,3.984,0.25,-0.45,0.2883472847800517
2,4.032,0.25,-0.45,0.2885217725115038
2,4.08,0.25,-0.45,0.28868579411485357
2,4.128,0.25,-0.45,0.2888394923718129
2,4.176,0.25,-0.45,0.2889830088443738
